摩西书1:1	这些是摩西被提到一座非常高的山上时，神对摩西说的话，
约瑟·斯密——历史1:43	这番谈话以后，我看到房间里的光开始向紧绕那跟我说话的人周围聚拢，那情形继续着，直到除了他周围外整个房间再暗下来；这时，我随即看到，好像有一条管道通往天上那样，然后他往上升，直到他完全消失，而房间就回复到这天上的光出现以前的样子。
约瑟·斯密——历史1:44	我躺着默想这一幕奇异的景象，对于这位特别的使者告诉我的事感到非常惊讶；我正在沉思的时候，突然发现我的房间又开始亮了起来，好像一瞬间，那同一位天上的使者又在我的床边。
约瑟·斯密——历史1:45	他开始说话，将他第一次来访时说的事丝毫不差地重述一遍；完毕后，他告诉我即将来到地上的大惩罚，伴随着因饥荒、刀剑和瘟疫所造成的大荒芜；而这些惨痛的惩罚会在这一代来到地上。讲完这些事后，他又像先前那样升上去。
约瑟·斯密——历史1:46	此时，在我脑海的印象如此深刻，使我睡意全消，我躺在那儿，对刚才所看到和听到的感到惊讶。但是更叫我惊讶的是，我又看见同一位使者在我床边，并听到他又将先前告诉我的同样的事向我重述或重复一遍；然后加上给我的警告，告诉我撒但会设法诱惑我拿那些页片来致富（因为我父亲家贫穷的环境）。他禁止我这样做，说我除了荣耀神之外，绝对不可以有其他目的去取得页片，而且除了建立祂的国度外，绝对不可以受其他任何动机的影响；否则我就无法得到页片。
约瑟·斯密——历史1:47	这第三次来访后，他又像先前那样升上天去，而我则再度沉思刚才所经历之事的奇异；几乎就在那位天上的使者第三次从我这里升上去之后，鸡就叫了，我发觉天就快亮了，所以我们的会谈一定占去了整个晚上。
约瑟·斯密——历史1:48	不久之后，我就起床，而且照常去做我白天必须做的工作；但是我正要像往常那样工作时，发觉自己体力已衰竭到完全不能工作。我父亲与我一起工作，发现我有些不对劲，就叫我回家。我动身打算走回家去；但是我正要越过围栏，离开我们所在的那块田地时，我体力完全不支、无助地倒在地上，有一阵子不省人事。
约瑟·斯密——历史1:49	我能记得的第一件事是，有个声音对我说话，叫我的名字。我往上看，看见了那同一位使者，站在我头的上方，像以前那样被光围绕着。然后他又将前一天晚上他告诉我的所有事情向我重述一遍，并且命令我去我父亲那里，将我获得的异象和诫命告诉他。
约瑟·斯密——历史1:50	我服从了，回到田里我父亲那里，将整个事情复述给他听。他回答我说，那是属神的，并且告诉我去照使者的命令做。我离开了田地，到使者告诉我的存放页片的地方去；由于我获得的有关那事的异象非常清楚，我一到那里就认出那个地方。
约瑟·斯密——历史1:51	纽约州安大略郡，曼彻斯特村的附近，耸立着一座相当大的山丘，比邻近的山丘都高。这山丘的西面，离山顶不远处，在一块相当大的石头下，有一个石箱，页片就存放在箱子里。这石头上面的中央厚而且圆，向边缘渐薄，所以石头的中央部分露出地面，而整个边缘都埋在土里。
约瑟·斯密——历史1:52	除去泥土后，我找来一根杠杆，我将杠杆固定在石头边缘底下，稍一用力就把石头撬了起来。我往里面看，果然看到了使者说的页片、乌陵和土明，和胸牌。放这些东西的箱子是用一种像水泥的东西将石头砌在一起做成的。在箱底交叉放着两块石头，页片和其他东西，就放在这些石头上。
约瑟·斯密——历史1:53	我想要把这些东西拿出来时，使者阻止了我，并再度告诉我说，拿出这些东西的时候还没到，从那时起还要四年才会到；但是他告诉我，从那时起刚好一年的时候，我必须到那个地方去，他会在那里与我会面，而且我必须继续这样做，直到获得页片的时候来到。
约瑟·斯密——历史1:54	于是，我就按照命令，在每满一年的时候前往，每次我都发现同一位使者在那里，而且在我们每次的会谈中，都从他那里得到指示和讯息，有关主将要做的事，和在末世时代，祂的国度要如何和用何种方式来管理。
约瑟·斯密——历史1:55	由于我父亲的生活环境非常拮据，我们必须靠双手劳动，只要有机会就受雇做日工或别的。我们有时候在本地，有时候在外地；靠不断的工作才能得到安适的生活所需。
约瑟·斯密——历史1:56	一八二三年我大哥奥文去世，父亲家里遭逢极大的苦难。一八二五年十月，我受雇于一位住在纽约州齐南哥郡，名为约西亚·史达尔的老绅士。他听说西班牙人曾在宾夕法尼亚州苏克含纳郡哈茂耐开银矿的事；而且，他在雇用我之前就曾去挖过，以便找到那矿。我搬去跟他住以后，他就带着我和他其他的人手去挖那银矿，我在那里继续工作了将近一个月，我们的工作没有成功，最后我劝服了这位老先生停止挖掘。流传甚广的有关我是挖金者的传说，即由此而起。
约瑟·斯密——历史1:57	在这段受雇时期，我被安排跟当地的以撒·海尔先生住在一起；在那里我初次看见了我的妻子（他的女儿）爱玛·海尔。我们在一八二七年一月十八日结婚，当时我还受雇为史达尔先生工作。
约瑟·斯密——历史1:58	由于我继续坚称我曾看到异象，所以迫害仍然跟着我，我岳父的家庭非常反对我们的婚事。因此，我必须带着她到别的地方去；所以我们到纽约州齐南哥郡南宾贝志，史奎尔·塔比家里结婚。我们结婚后，随即离开史达尔先生，到我父亲家，在该季跟他一起耕种。
约瑟·斯密——历史1:59	取得页片、乌陵和土明、和胸牌的时刻终于来到。一千八百二十七年九月二十二日，我照常在又满一年的时候前往存放那些东西的地方，同一位天上的使者将那些东西交给我，附上以下的命令：我必须为那些东西负责；如果我因为粗心或因为任何疏忽而丢了那些东西，我必遭剪除；但是如果我尽一切努力保全那些东西，直到他，那位使者来索回的时候，那些东西必受保护。
约瑟·斯密——历史1:60	我不久就明白为何我会接受如此严格的命令，要保障那些东西的安全，和为何使者说当我完成要由我亲手做的事时，他会来索回那些东西。因为旁人一旦知道我拥有那些东西，就无所不用其极地想从我这里拿走。他们为了达到那个目的，每一种想得出来的计谋都用上了。迫害变本加厉，众人都一直注意着，想尽可能从我这里拿走那些东西。但是借着神的智慧，那些东西安然留在我手中，直到我用那些东西完成要由我亲手做的事。当使者按照安排来索回那些东西时，我就将那些东西交给他；由他保管，直到今日，即一千八百三十八年五月二日。
约瑟·斯密——历史1:61	但是骚动仍然继续，层出不穷的谣言一直被用来散播有关我父亲的家庭和我自己的不实报导。如果我把其中千分之一说出来，就可以写成好几本书。然而迫害变得非常难以忍受，所以我必须离开曼彻斯特，带着妻子到宾夕法尼亚州的苏克含纳郡去。我们准备启程时——当时很穷，对我们的迫害又这么严重，所以我们不可能改变现况——在我们的苦难中，我们发现有个人是我们的绅士朋友，他的名字是马丁·哈里斯，他来看我们，给了我五十块钱，协助我们的旅程。哈里斯先生是纽约州韦恩郡抛迈拉镇的居民，是受人尊敬的农人。
约瑟·斯密——历史1:62	有了这适时的援助，我就能到达在宾夕法尼亚州的目的地；我到了那里后，立刻就开始抄写页片上的文字。我抄了相当数量后，就借乌陵和土明翻译了一些，那是我在十二月到我岳父家，到次年二月间所做的事。
约瑟·斯密——历史1:63	就在这二月的某一天，前面提到的马丁·哈里斯先生来到我们住的地方，拿了我从页片上抄录下来的文字，启程往纽约市去。至于他和那些文字所发生的事，我按照他回来后对我说的，引述他自己叙述的事情经过如下：
约瑟·斯密——历史1:64	「我到纽约市去，将那些文字的原文和其译文，拿给在文学造诣著名的绅士，查理·安东教授看。安东教授说，译文是正确的，比他从前看过的任何译自埃及文的译文都正确。然后我将那些还没有翻译的拿给他看，他说那些是埃及文、迦勒底文、亚述文，和阿拉伯文；然后他说，那些都是真的文字。他写了一张证明书给我，向抛迈拉的居民证明那些都是真的文字，而且从那些文字翻译过来的译文也是正确的。我收下证明书放在衣袋里，正要离开他家时，安东先生叫我回去，问我那年轻人是怎么在他找到金页片的地方发现金页片的。我回答说，是神的天使向他显示的。
约瑟·斯密——历史1:65	「然后他对我说，『让我看看那证明书。』于是我就从口袋里拿出证明书交给他，他拿到后，便把它撕成碎片，说现在没有天使施助这种事，如果我把页片带去给他，他愿意翻译。我告诉他，有一部分页片是封住的，而且我被禁止将页片带出来。他回答说：『我不能读封住的书。』我离开他后，去找米契尔博士；他认同安东教授对那些文字和译文的说法。」
约瑟·斯密——历史1:66	一八二九年四月五日，奥利佛·考德里来到我家，以前我从来没有见过他。他对我说，因为他在我父亲住的地方附近的学校教书，我父亲是送学生去学校的人之一，他就住在我父亲家一阵子，在那里听我家人谈起我获得页片的经过，所以就来问我。
约瑟·斯密——历史1:67	考德里先生来了两天后（四月七日），我开始翻译《摩尔门经》，他就开始为我抄写。
约瑟·斯密——历史1:68	次月（一八二九年五月），我们仍然继续翻译的工作，有一天我们进树林去祷告，求问主有关为罪的赦免的洗礼，那是我们在页片的译文中发现提到过的。就在我们专注地向主祈祷、呼求时，有位天上来的使者在光明的云彩中降临，将双手放在我们头上，按立我们，说：
约瑟·斯密——历史1:69	我的同工仆人们，奉弥赛亚的名，我将亚伦圣职授予你们。这圣职持有天使的施助、悔改的福音，和为罪的赦免的浸没洗礼的权钥；这圣职绝不再从地上取走，直到利未的儿子再在正义中向主献祭。
约瑟·斯密——历史1:70	他说这亚伦圣职没有按手赐予圣灵恩赐的能力，但是这能力以后会授予我们；他命令我们去受洗，并给我们指示，要我为奥利佛·考德里施洗，然后他要为我施洗。
约瑟·斯密——历史1:71	于是我们去受洗。我先为他施洗，然后他为我施洗——之后我按手在他头上，按立他亚伦圣职，然后他按手在我头上，按立我同样的圣职——因为我们被命令这么做。*
约瑟·斯密——历史1:72	在这场合造访我们并把这圣职授予我们的使者说，他名叫约翰，就是新约中所说的施洗约翰，他在持有麦基洗德圣职权钥的彼得、雅各、约翰的指示下行事，他说，那圣职会在适当的时候授予我们，我将被召唤为本教会的第一长老，而他（奥利佛·考德里）为第二长老。我们在这位使者的手下按立和受洗，是一八二九年五月十五日。
约瑟·斯密——历史1:73	我们受洗，从水里起来后，立刻体验到从我们天父而来的伟大而荣耀的祝福。我一为奥利佛·考德里施洗后，圣灵就降在他身上，他站起来就预言了许多快要发生的事。然后，他一为我施洗后，我也有了预言之灵，我一站起来，就预言了有关本教会兴起的事、其他与本教会有关的许多事情，和人类儿女这一代的事。我们为圣灵所充满，因我们救恩之神而快乐。
约瑟·斯密——历史1:74	如今我们的心智受了启发，而开始了解许多经文，其中较奥秘的章节的真谛和本意，也以一种我们过去从来无法达到的方式向我们显示，也是我们从未想到过的。同时，由于迫害之灵已在邻近地区显明，迫使我们将我们获得圣职和受洗的经过保密。
约瑟·斯密——历史1:75	我们时常受到威胁会遭暴民攻击，而这种威胁也有来自宗教宣讲者的。他们攻击我们的意图，因我岳父家的影响力（出自神的护佑）才得以消除；我岳父家变得对我非常友善，他们反对暴民，并且愿让我继续翻译的工作，不被打断，所以只要他们能力所及，他们都提供并答应给我们保护，使我们不受任何非法手段的干扰。
信条1:1	我们信神，永恒的父，和祂的儿子耶稣基督，及圣灵。
信条1:2	我们信人会为自己的罪受惩罚，并不是为亚当的违诫。
信条1:3	我们信经由基督的赎罪，全人类都可以借着服从福音的律法和教仪而得救。
信条1:4	我们信福音的首要原则和教仪是：第一，对主耶稣基督的信心；第二，悔改；第三，为罪的赦免的浸没洗礼；第四，为圣灵恩赐的按手礼。
信条1:5	我们信人必须蒙神召唤，借着预言和有权柄者的按手礼，才可以传讲福音和执行其教仪。
信条1:6	我们信存在于原始教会中的同样组织，即：使徒、先知、牧师、教师、传福音的人等等。
信条1:7	我们信说方言、预言、启示、异象、治病、译方言的恩赐等等。
信条1:8	我们信翻译正确的《圣经》是神的话；我们也信《摩尔门经》是神的话。
信条1:9	我们信神已经启示的一切，及祂现在启示的一切，我们也信祂仍要启示许多有关神国度的伟大而重要的事。
信条1:10	我们信以色列的真正聚集和十支派的复兴；锡安（新耶路撒冷）会建立在美洲大陆上；基督会亲自在大地上统治；并且，大地会被更新且获得其乐园的荣耀。
信条1:11	我们要求有特权可依照自己良心的指引，崇拜全能的神，并容许所有的人都有同样的特权，让他们自行选择崇拜的方式、处所或对象。
信条1:12	我们信要服从国王、总统、统治者、和有执法权的长官，要服从、敬重和维护法律。
信条1:13	我们信要诚实、真诚、贞洁、仁慈、有品德，并为所有的人做有益的事；的确，我们可以说我们听从保罗的训诫——我们凡事相信、凡事盼望，我们已忍受了许多事情，希望凡事都能忍受。任何有品德、美好、受好评或值得赞扬的事，我们皆追求之。
